exp_name,max_total,balance,rep_count,tflite_kb,ms_keras,ms_tflite,delta_mse,delta_mae,delta_max,in_scale,in_zp,out_scale,out_zp,rep_path,tflite_path,status,note,yk_min,yk_max,yt_min,yt_max,delta_range_obs,delta_mse_obs,delta_mae_obs,delta_rmse_obs,delta_max_obs,keras_ms_observed,tflite_ms_observed,n_windows_eval,repr_out_min,repr_out_max,repr_out_width,lsb_out,sat_lo_cnt,sat_hi_cnt,delta_rmse
mt2000_b0p45,2000,0.45,2000,141.99,0.392,0.019,0.1421644,0.2271819,2.247434,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p45/tflite/model_int8_full.tflite,OK,,-1.4945790767669678,1.4012609720230103,-2.8083019256591797,2.3922572135925293,2.304719090461731,0.42957592010498047,0.4994296431541443,0.6554204147758753,2.6433379650115967,0.7705576717853546,0.03034248948097229,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.37704694667905747
mt2000_b0p5,2000,0.5,2000,141.99,0.552,0.02,0.1400022,0.2178032,2.674862,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p5/tflite/model_int8_full.tflite,OK,,-1.479729413986206,1.4666380882263184,-2.654846429824829,2.2383999824523926,1.9468789100646973,0.40084108710289,0.4861142635345459,0.6331201205955234,2.6069347858428955,0.7751621305942535,0.029984861612319946,64.0,-9.89060454070568,3.3836278691887856,13.274232409894466,0.05205581337213516,0.0,0.0,0.37416867853950575
mt2000_b0p55,2000,0.55,2000,141.99,0.559,0.02,0.1241302,0.19738,2.340096,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p55/tflite/model_int8_full.tflite,OK,,-1.475773572921753,1.4635337591171265,-2.758958101272583,2.2904558181762695,2.110106587409973,0.3958861231803894,0.48236244916915894,0.6291948213235622,2.364104986190796,0.7624812424182892,0.03061816096305847,64.0,-9.89060454070568,3.3836278691887856,13.274232409894466,0.05205581337213516,0.0,0.0,0.35232116030689953
mt2000_b0p6,2000,0.6,2000,141.99,0.488,0.019,0.09701212,0.1691235,2.174276,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p6/tflite/model_int8_full.tflite,OK,,-1.4993501901626587,1.4603787660598755,-2.4466233253479004,2.0301766395568848,1.517071008682251,0.4108165204524994,0.4703417718410492,0.6409497019677124,2.3040285110473633,0.7762610912322998,0.03041699528694153,64.0,-9.89060454070568,3.3836278691887856,13.274232409894466,0.05205581337213516,0.0,0.0,0.3114676869275527
mt3000_b0p25,3000,0.25,3000,141.99,0.535,0.02,0.196728,0.2998184,2.285758,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p25/tflite/model_int8_full.tflite,OK,,-1.4195970296859741,1.6129709482192993,-2.6002795696258545,2.2882461547851562,1.8559577465057373,0.4294399321079254,0.49583443999290466,0.6553166655197512,2.334930896759033,0.7629580795764923,0.0304393470287323,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.44354030256561805
mt3000_b0p3,3000,0.3,3000,141.99,0.558,0.019,0.2145302,0.303871,2.261256,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p3/tflite/model_int8_full.tflite,OK,,-1.4528067111968994,1.672513723373413,-2.548274040222168,2.1322293281555176,1.555182933807373,0.43188920617103577,0.503612220287323,0.6571827798801759,2.1423180103302,0.7641911506652832,0.02983585000038147,64.0,-9.881062619388103,3.380363527685404,13.261426147073507,0.0520055927336216,0.0,0.0,0.46317404935941736
mt3000_b0p35,3000,0.35,3000,141.99,0.538,0.02,0.1628495,0.2636419,1.965318,0.8337522149085999,-106,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p35/tflite/model_int8_full.tflite,OK,,-1.4047496318817139,1.638685941696167,-2.4466233253479004,2.4466233253479004,1.84981107711792,0.35237735509872437,0.45666590332984924,0.5936138097271023,2.4986467361450195,0.7724910974502563,0.031057745218276978,64.0,-9.89060454070568,3.3836278691887856,13.274232409894466,0.05205581337213516,0.0,0.0,0.4035461559722754
mt3000_b0p4,3000,0.4,3000,141.99,0.55,0.019,0.1738391,0.2605576,2.275177,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p4/tflite/model_int8_full.tflite,OK,,-1.398541808128357,1.6022310256958008,-2.81101393699646,2.0822324752807617,1.892473578453064,0.411152184009552,0.49201536178588867,0.6412114970971372,2.0428171157836914,0.7781349122524261,0.030469149351119995,64.0,-9.89060454070568,3.3836278691887856,13.274232409894466,0.05205581337213516,0.0,0.0,0.4169401635726642
mt3000_b0p45,3000,0.45,3000,141.99,0.487,0.02,0.1642347,0.242382,2.86581,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt3000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p45/tflite/model_int8_full.tflite,OK,,-1.3868465423583984,1.5624500513076782,-2.3989574909210205,2.0338988304138184,1.4835597276687622,0.3565189242362976,0.45478230714797974,0.5970920567519699,2.045680284500122,0.7740110158920288,0.031035393476486206,64.0,-9.856586549431086,3.4419826045632362,13.298569153994322,0.05215125158429146,0.0,0.0,0.40525880619673155
mt3000_b0p5,3000,0.5,3000,141.99,0.39,0.019,0.1297504,0.2127752,1.886098,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt3000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p5/tflite/model_int8_full.tflite,OK,,-1.4897866249084473,1.6227108240127563,-2.451108932495117,2.086050033569336,1.4246615171432495,0.385647177696228,0.47974100708961487,0.621004973970602,2.064561367034912,0.8269771933555603,0.030085444450378418,64.0,-9.856586549431086,3.4419826045632362,13.298569153994322,0.05215125158429146,0.0,0.0,0.3602088283204619
