exp_name,max_total,balance,rep_count,tflite_kb,ms_keras,ms_tflite,delta_mse,delta_mae,delta_max,in_scale,in_zp,out_scale,out_zp,rep_path,tflite_path,status,note
mt5000_b0p55,5000,0.55,5000,141.99,0.551,0.021,0.2314875,0.3256518,3.230417,1.6568186283111572,-117,0.05411498248577118,55,qbench_sweep_20251027_165731/experiments/mt5000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p55/tflite/model_int8_full.tflite,OK,
mt5000_b0p6,5000,0.6,5000,141.99,0.553,0.021,0.2153188,0.309646,2.497604,1.6568186283111572,-117,0.05659588798880577,47,qbench_sweep_20251027_165731/experiments/mt5000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p6/tflite/model_int8_full.tflite,OK,
mt6000_b0p25,6000,0.25,6000,141.99,0.403,0.019,0.22964,0.3237254,2.508082,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt6000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p25/tflite/model_int8_full.tflite,OK,
mt6000_b0p3,6000,0.3,6000,141.99,0.406,0.02,0.2160218,0.3088656,2.667016,0.17049096524715424,-20,0.05218496918678284,61,qbench_sweep_20251027_165731/experiments/mt6000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p3/tflite/model_int8_full.tflite,OK,
mt6000_b0p35,6000,0.35,6000,141.99,0.561,0.019,0.1691385,0.2689036,2.687416,0.17049096524715424,-20,0.05259726569056511,60,qbench_sweep_20251027_165731/experiments/mt6000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p35/tflite/model_int8_full.tflite,OK,
mt6000_b0p4,6000,0.4,6000,141.99,0.488,0.02,0.2346706,0.3372976,2.240127,1.6568186283111572,-117,0.05323544517159462,58,qbench_sweep_20251027_165731/experiments/mt6000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p4/tflite/model_int8_full.tflite,OK,
mt6000_b0p45,6000,0.45,6000,141.99,0.547,0.021,0.2500216,0.3428248,2.396301,1.6568186283111572,-117,0.053775854408741,56,qbench_sweep_20251027_165731/experiments/mt6000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p45/tflite/model_int8_full.tflite,OK,
mt6000_b0p5,6000,0.5,6000,141.99,0.544,0.021,0.2130407,0.3180698,2.62234,1.6568186283111572,-117,0.05659588798880577,47,qbench_sweep_20251027_165731/experiments/mt6000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p5/tflite/model_int8_full.tflite,OK,
mt6000_b0p55,6000,0.55,6000,141.99,0.558,0.021,0.2431704,0.3346001,2.909463,1.6568186283111572,-117,0.05994482338428497,37,qbench_sweep_20251027_165731/experiments/mt6000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p55/tflite/model_int8_full.tflite,OK,
mt6000_b0p6,6000,0.6,6000,141.99,0.391,0.021,0.2265734,0.3235591,2.467233,1.6568186283111572,-117,0.05994482338428497,37,qbench_sweep_20251027_165731/experiments/mt6000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p6/tflite/model_int8_full.tflite,OK,
